sentiment,text
guilt,this i experienced when going around with more than one girl
joy,letting jesus take control of my emotions ie ill feeling
fear,had fear of losing husband
anger,when present boyfriends mother approached my parents and self  to leave her son alone as she did not want me for a future  daughterinlaw
sadness,when boyfriend could not stand up to his mother or for himself
disgust,disgusted with boyfriends mother her overpowering  overprotecting and selfish attitudes
shame,when ditched divorced by husband
guilt,when i had to lie about my age to be accepted as a member of a  group
joy,my cousin asked me to be a bridesmaid for her this made really  happy because i was adopted into the family and her asking me  made me realise that she saw me as a cousin and not just another  person there were other cousins she could have asked but she  asked me
fear,that if ever i was really naughty i would be sent away from my  mum and dad to another family i was fostered from age 5 and  didnt get to mum and dad until i was 6 and then legally adopted  at 14
